neutral_id,source_cohort,repository,issue_url,buggy_sha,fixed_sha,mechanism,crit_real_public_fix,crit_dual_arm_repro,crit_in_numerical_scope,decision,decision_reason,analysis_id
EXT-gpytorch-02,supplemental_r2,cornellius-gp/gpytorch,https://github.com/cornellius-gp/gpytorch/issues/2526,,,maintainers closed the report as expected tutorial/derivative-GP behaviour.,FAIL,PENDING,FAIL,EXCLUDED,Excluded as behaviour change that is intended API redesign.,
EXT-gpytorch-03,supplemental_r2,cornellius-gp/gpytorch,https://github.com/cornellius-gp/gpytorch/issues/1580,6112906c66876bd119c814640b331d992b8ac8d7,756cf4862aadfc38ebd3f32b55514e8a2eefbd8e,restores summed lazy-covariance predictive results.,PASS,PENDING,PASS,ADMIT_PENDING_REPRO,A1 and A3 pass on public issue and merged fix evidence.,
EXT-gpytorch-04,supplemental_r2,cornellius-gp/gpytorch,https://github.com/cornellius-gp/gpytorch/issues/1039,,,closed as a MultitaskGaussianLikelihood design decision.,FAIL,PENDING,FAIL,EXCLUDED,Excluded as behaviour change that is intended API redesign.,
EXT-gpytorch-05,supplemental_r2,cornellius-gp/gpytorch,https://github.com/cornellius-gp/gpytorch/issues/955,67a7d75a98b14f151e2e7d4e57ee54ff31c2ac77,befb9961f5de7313b427202db1c79d744ce2bfde,prevents divide-by-zero NaNs in grid interpolation during training; crash-only failure outside admitted numerical return defects.,PASS,PENDING,FAIL,EXCLUDED,Excluded as crash-only.,
EXT-chaospy-01,supplemental_r2,jonathf/chaospy,https://github.com/jonathf/chaospy/issues/418,,,closed as solved upstream in SciPy without a chaospy fix commit.,FAIL,PENDING,PASS,EXCLUDED,A1 fails: no identifiable merged public fix commit in jonathf/chaospy.,
EXT-chaospy-02,supplemental_r2,jonathf/chaospy,https://github.com/jonathf/chaospy/issues/132,,,maintainers closed the report as intentional quadrature weight behaviour.,FAIL,PENDING,FAIL,EXCLUDED,Excluded as behaviour change that is intended API redesign.,
EXT-pytorch-01,supplemental_r2,pytorch/pytorch,https://github.com/pytorch/pytorch/issues/191014,,,ONNX TorchScript export path outside linalg/optim/special-function scope.,FAIL,PENDING,FAIL,EXCLUDED,A3 fails: outside frozen pytorch numerical scope; A1 also lacks a pytorch commit.,
EXT-pytorch-02,supplemental_r2,pytorch/pytorch,https://github.com/pytorch/pytorch/issues/190764,,,Inductor integer-graph disagreement outside frozen numerical scope.,FAIL,PENDING,FAIL,EXCLUDED,A3 fails: outside frozen pytorch numerical scope.,
EXT-pytorch-03,supplemental_r2,pytorch/pytorch,https://github.com/pytorch/pytorch/issues/189961,,,MPS non-dense view copy path outside frozen numerical scope.,FAIL,PENDING,FAIL,EXCLUDED,A3 fails: outside frozen pytorch numerical scope.,
EXT-pytorch-04,supplemental_r2,pytorch/pytorch,https://github.com/pytorch/pytorch/issues/189895,c99d06a01764f62f60e3d1246fb026e63146e026,a6f227a0642b85478704622e6418cac12d990dd0,Inductor padding/reduction fusion outside frozen numerical scope.,PASS,PENDING,FAIL,EXCLUDED,A3 fails: outside frozen pytorch numerical scope.,
EXT-pytorch-05,supplemental_r2,pytorch/pytorch,https://github.com/pytorch/pytorch/issues/189581,,,RMSNorm bf16 report closed without a merged fix commit on this issue.,FAIL,PENDING,PASS,EXCLUDED,A1 fails: referenced fix PR was closed unmerged.,
EXT-pytorch-06,supplemental_r2,pytorch/pytorch,https://github.com/pytorch/pytorch/issues/189495,c46c8102908fb51e24b3a1ce4c5e9eb64236f565,4e7eef63f9586670e971215c436fd4f23f787f6c,restores F.linear results when an MPS batch dimension exceeds 65536.,PASS,PENDING,PASS,ADMIT_PENDING_REPRO,A1 and A3 pass: public fix in linear-algebra scope.,
EXT-pytorch-07,supplemental_r2,pytorch/pytorch,https://github.com/pytorch/pytorch/issues/189401,e9434450f196f0c32b5500574534bdf4534187f2,f2a2c90de1455c8b3d6fb90f880523a9a301b0c0,Inductor reduction view lowering outside frozen numerical scope.,PASS,PENDING,FAIL,EXCLUDED,A3 fails: outside frozen pytorch numerical scope.,
EXT-pytorch-08,supplemental_r2,pytorch/pytorch,https://github.com/pytorch/pytorch/issues/189225,,,ONNX dynamo GRU export outside frozen numerical scope.,FAIL,PENDING,FAIL,EXCLUDED,A3 fails: outside frozen pytorch numerical scope.,
EXT-pytorch-09,supplemental_r2,pytorch/pytorch,https://github.com/pytorch/pytorch/issues/189134,8614b55bd9a88c4df863268a812296fa2d4d24fe,a729ca6e8a31e63bb4723bdc99370bf7383ba8b4,restores MPS linalg.solve when B is broadcast against batched A.,PASS,PENDING,PASS,ADMIT_PENDING_REPRO,A1 and A3 pass: public fix in linear-algebra scope.,
EXT-pytorch-10,supplemental_r2,pytorch/pytorch,https://github.com/pytorch/pytorch/issues/189054,,,torch.compile autotune overflow outside frozen numerical scope.,FAIL,PENDING,FAIL,EXCLUDED,A3 fails: outside frozen pytorch numerical scope.,
EXT-pytorch-11,supplemental_r2,pytorch/pytorch,https://github.com/pytorch/pytorch/issues/188878,,,FlexAttention FLASH backend outside frozen numerical scope.,FAIL,PENDING,FAIL,EXCLUDED,A3 fails: outside frozen pytorch numerical scope.,
EXT-pytorch-12,supplemental_r2,pytorch/pytorch,https://github.com/pytorch/pytorch/issues/188335,97b208b0869e42dd3cd7aaf2d2276412184e3529,fbc71f5503c520ddb26e6dcbb13f75997603140e,MPS Conv2d correctness fix outside linalg/optim/special-function scope.,PASS,PENDING,FAIL,EXCLUDED,A3 fails: convolution is outside frozen pytorch numerical scope.,
EXT-pytorch-13,supplemental_r2,pytorch/pytorch,https://github.com/pytorch/pytorch/issues/188152,,,fp8 MoE kernel mismatch outside frozen numerical scope.,FAIL,PENDING,FAIL,EXCLUDED,A3 fails: outside frozen pytorch numerical scope.,
EXT-pytorch-14,supplemental_r2,pytorch/pytorch,https://github.com/pytorch/pytorch/issues/187117,,,MPS binary-op storage_offset bug outside frozen numerical scope.,FAIL,PENDING,FAIL,EXCLUDED,A3 fails: outside frozen pytorch numerical scope.,
EXT-pytorch-15,supplemental_r2,pytorch/pytorch,https://github.com/pytorch/pytorch/issues/187018,ce97d365f9875eea9d0d4151607762def0bd2d5c,ef129df4d67252e63e3429da07ac4333c8ce8d3a,Inductor uint8 abs codegen outside frozen numerical scope.,PASS,PENDING,FAIL,EXCLUDED,A3 fails: outside frozen pytorch numerical scope.,
EXT-pytorch-16,supplemental_r2,pytorch/pytorch,https://github.com/pytorch/pytorch/issues/186671,,,Dynamo set-subclass iteration outside frozen numerical scope.,FAIL,PENDING,FAIL,EXCLUDED,A3 fails: outside frozen pytorch numerical scope.,
EXT-pytorch-17,supplemental_r2,pytorch/pytorch,https://github.com/pytorch/pytorch/issues/186577,,,layer_norm fusion report closed without a merged fix commit.,FAIL,PENDING,PASS,EXCLUDED,A1 fails: referenced fix PR was closed unmerged.,
EXT-pytorch-18,supplemental_r2,pytorch/pytorch,https://github.com/pytorch/pytorch/issues/186029,,,Inductor count_nonzero/bincount outside frozen numerical scope.,FAIL,PENDING,FAIL,EXCLUDED,A3 fails: outside frozen pytorch numerical scope.,
EXT-pytorch-19,supplemental_r2,pytorch/pytorch,https://github.com/pytorch/pytorch/issues/185517,eb80dd583a7b531e3beef0af664b40416c98e325,554aee00865e54f08389c9f2fa755ccaa322a59b,Inductor bf16 scalar rounding for a ranking loss outside frozen scope.,PASS,PENDING,FAIL,EXCLUDED,A3 fails: loss/Inductor path outside frozen pytorch numerical scope.,
EXT-pytorch-20,supplemental_r2,pytorch/pytorch,https://github.com/pytorch/pytorch/issues/185464,735ad747172353f9836d27ae5fc1f83c73062fbd,b5fc9a2895b325b7576e68955020723b7a923d15,multilabel_margin_loss padded-target fix outside frozen numerical scope.,PASS,PENDING,FAIL,EXCLUDED,A3 fails: loss path outside frozen pytorch numerical scope.,
EXT-jax-01,supplemental_r2,jax-ml/jax,https://github.com/jax-ml/jax/issues/39103,,,closed without a jax-ml/jax fix; only a jax-md workaround PR is linked.,FAIL,PENDING,PASS,EXCLUDED,A1 fails: no identifiable merged public fix commit in jax-ml/jax.,
EXT-jax-02,supplemental_r2,jax-ml/jax,https://github.com/jax-ml/jax/issues/38264,,,gammaln(-inf) sign report closed; linked fix PR was not merged.,FAIL,PENDING,PASS,EXCLUDED,A1 fails: no identifiable merged public fix commit.,
EXT-jax-03,supplemental_r2,jax-ml/jax,https://github.com/jax-ml/jax/issues/37991,3aa5aa759c7c75290f6c1d8c849a301b386bcdb7,6f201d8ad062e04da6d11d12dbf2a0339db2a51c,cumsum dtype=bool fix outside linalg/optim/special-function scope.,PASS,PENDING,FAIL,EXCLUDED,A3 fails: outside frozen jax numerical scope.,
EXT-jax-04,supplemental_r2,jax-ml/jax,https://github.com/jax-ml/jax/issues/37920,,,closed as intended jax_enable_x64 dtype promotion behaviour.,FAIL,PENDING,FAIL,EXCLUDED,Excluded as behaviour change that is intended API redesign.,
EXT-jax-05,supplemental_r2,jax-ml/jax,https://github.com/jax-ml/jax/issues/37762,,,closed as expected XLA DAZ behaviour for subnormal inputs.,FAIL,PENDING,PASS,EXCLUDED,Excluded as behaviour change that is intended API redesign.,
EXT-jax-06,supplemental_r2,jax-ml/jax,https://github.com/jax-ml/jax/issues/37636,,,closed as a duplicate without a fix commit on this issue.,FAIL,PENDING,PASS,EXCLUDED,A1 fails: no identifiable merged public fix commit on this issue.,
EXT-jax-07,supplemental_r2,jax-ml/jax,https://github.com/jax-ml/jax/issues/37389,,,custom_jvp nondeterminism outside frozen numerical scope.,FAIL,PENDING,FAIL,EXCLUDED,A3 fails: outside frozen jax numerical scope.,
EXT-jax-08,supplemental_r2,jax-ml/jax,https://github.com/jax-ml/jax/issues/35762,,,boolean reduction under jit outside frozen numerical scope.,FAIL,PENDING,FAIL,EXCLUDED,A3 fails: outside frozen jax numerical scope.,
EXT-jax-09,supplemental_r2,jax-ml/jax,https://github.com/jax-ml/jax/issues/35515,,,XLA GPU autotune configuration failure rather than a numerical return defect.,FAIL,PENDING,FAIL,EXCLUDED,Excluded as build/packaging.,
EXT-jax-10,supplemental_r2,jax-ml/jax,https://github.com/jax-ml/jax/issues/33479,,,JIT gather constant-folding outside frozen numerical scope.,FAIL,PENDING,FAIL,EXCLUDED,A3 fails: outside frozen jax numerical scope.,
EXT-jax-11,supplemental_r2,jax-ml/jax,https://github.com/jax-ml/jax/issues/32001,,,closed as GPU default-precision differences without a fix commit.,FAIL,PENDING,FAIL,EXCLUDED,A1 fails: no identifiable merged public fix commit.,
EXT-jax-12,supplemental_r2,jax-ml/jax,https://github.com/jax-ml/jax/issues/31626,,,pmap multi-GPU failure without a merged public numerical fix.,FAIL,PENDING,FAIL,EXCLUDED,Excluded as crash-only.,
EXT-jax-13,supplemental_r2,jax-ml/jax,https://github.com/jax-ml/jax/issues/31612,0d5c479397032471c4c3e7a2ec3cec376cd37538,682b1a37ac9e1392e9256afa9bbd15a84a18a078,jnp.unwrap integer handling outside linalg/optim/special-function scope.,PASS,PENDING,FAIL,EXCLUDED,A3 fails: outside frozen jax numerical scope.,
EXT-jax-14,supplemental_r2,jax-ml/jax,https://github.com/jax-ml/jax/issues/27019,d191927b24cbe83944552ee0222f8384dc7cff75,c2c68c018f886b88363d909f3bba4c319bfcfcf5,restores expi values under disable_jit by correcting while_loop semantics.,PASS,PENDING,PASS,ADMIT_PENDING_REPRO,A1 and A3 pass: public fix for a special-function defect.,
EXT-jax-15,supplemental_r2,jax-ml/jax,https://github.com/jax-ml/jax/issues/26888,5179642eb5572b8fbec01dca5e03e2a636e513c2,439c412cd4c928c124d776b4c73fe72e3aabd7be,multidimensional pad fix outside linalg/optim/special-function scope.,PASS,PENDING,FAIL,EXCLUDED,A3 fails: outside frozen jax numerical scope.,
EXT-jax-16,supplemental_r2,jax-ml/jax,https://github.com/jax-ml/jax/issues/25564,,,closed after a float64 configuration workaround without a fix commit.,FAIL,PENDING,PASS,EXCLUDED,A1 fails: no identifiable merged public fix commit.,
EXT-jax-17,supplemental_r2,jax-ml/jax,https://github.com/jax-ml/jax/issues/25218,,,internal mosaic GPU test mismatch without an admitted numerical fix.,FAIL,PENDING,FAIL,EXCLUDED,Excluded as test-infrastructure.,
EXT-jax-18,supplemental_r2,jax-ml/jax,https://github.com/jax-ml/jax/issues/24491,e4eca9ec5975982f89903082532b49ec4d56da9d,eaef7d72792de2f019af551645486c60ed2d78e2,Pallas attention kernel fix outside frozen numerical scope.,PASS,PENDING,FAIL,EXCLUDED,A3 fails: outside frozen jax numerical scope.,
EXT-jax-19,supplemental_r2,jax-ml/jax,https://github.com/jax-ml/jax/issues/24059,,,closed needing API clarification without a merged fix commit.,FAIL,PENDING,PASS,EXCLUDED,A1 fails: no identifiable merged public fix commit.,
EXT-jax-20,supplemental_r2,jax-ml/jax,https://github.com/jax-ml/jax/issues/23972,875f44c63a6c0f082ef3b228559e86e1d0a398d1,77613f21aa61b9fb5fc18a5d94707030585c8e47,Pallas TPU unsigned comparison fix outside frozen numerical scope.,PASS,PENDING,FAIL,EXCLUDED,A3 fails: outside frozen jax numerical scope.,
