neutral_id,repo,issue_url,buggy_sha,fixed_sha,mechanism_sentence,crit_real_defect,crit_dual_arm_repro,crit_in_scope,decision,exclusion_reason,analysis_id
EXT-pymc-11,pymc,https://github.com/pymc-devs/pymc/issues/3999,b2c682e7043b652a2affb72ff64772e4c360b679,f07c273954594289c3419bb729ebc80f8e1143e9,accepts basic tensor types as Dirichlet parameters.,PASS,PENDING,FAIL,EXCLUDED,API type-acceptance defect rather than a numerical-kernel value error,
EXT-pymc-12,pymc,https://github.com/pymc-devs/pymc/issues/3987,9e8975f098d0dc848b7555ca5ef4c2746e88e46a,28a4621254ffb7f7b5c6c1a71eea6c3e2e4ba0ed,returns periodic covariance values from the standard kernel formula.,PASS,PENDING,PASS,ADMIT_PENDING_REPRO,,
EXT-pymc-13,pymc,https://github.com/pymc-devs/pymc/issues/2548,8dabaa9fe8e53eefc0998688108582071dc44163,cfd2b5b8af6c4a540568d8dca8c33c7fb8cb77a1,returns correctly signed Binomial GLM coefficient estimates for boolean outcomes.,PASS,PENDING,PASS,ADMIT_PENDING_REPRO,,
EXT-gpytorch-01,gpytorch,https://github.com/cornellius-gp/gpytorch/issues/2263,eb5066ca508dcf5630bd7e6b569591ba9cbe6200,7351799f1a0ba54e6944b21f5388aee0938f888a,registers reused prior instances so each prior contribution takes effect.,PASS,PENDING,FAIL,EXCLUDED,module prior-registration bug rather than a numerical kernel,
EXT-gpytorch-02,gpytorch,https://github.com/cornellius-gp/gpytorch/issues/1690,80caff8d36d74dbd7ae4c1d6e699df323c81da60,4df30488b2e16b46519cb9d34758745c7e2dbb61,accepts compatible event shapes when constructing an LKJ covariance prior.,PASS,PENDING,FAIL,EXCLUDED,API event-shape incompatibility when constructing an LKJ prior,
EXT-gpytorch-03,gpytorch,https://github.com/cornellius-gp/gpytorch/issues/1185,e5b0896b6e32383ef11d5dfe6546f6503114195d,98fee8ca03285cbaa41dd888807570932cd87908,adds distributional-input kernel implementations.,FAIL,PENDING,FAIL,EXCLUDED,feature request rather than a public defect plus fix pair for an existing kernel,
EXT-gpytorch-04,gpytorch,https://github.com/cornellius-gp/gpytorch/issues/725,06b6957840a8b402af29f33377c330059b02b8fe,f7e24b243a42fc71ed9bed8e01cc6765a63d39a4,computes Kronecker product log-determinants more efficiently.,FAIL,PENDING,FAIL,EXCLUDED,performance feature request for Kronecker log-determinant,
EXT-gpytorch-05,gpytorch,https://github.com/cornellius-gp/gpytorch/issues/256,80caff8d36d74dbd7ae4c1d6e699df323c81da60,4df30488b2e16b46519cb9d34758745c7e2dbb61,adds example notebooks for sparse variational GP methods.,FAIL,PENDING,FAIL,EXCLUDED,documentation/example request without an identifiable numerical-kernel defect,
EXT-chaospy-01,chaospy,https://github.com/jonathf/chaospy/issues/149,61cad6460bb25694c6f6622a978a28a68f39df56,6957d610de9ff42afba9add455494b3d659c9ee2,integrates alternate quadrature backends into the collection frontend.,FAIL,PENDING,FAIL,EXCLUDED,dependency suggestion rather than a public numerical defect with a dedicated fix,
EXT-pytorch-01,pytorch,https://github.com/pytorch/pytorch/issues/190765,f138aa87c437ad64f49c678ca9c357f33fd20228,8ee3aa7ee7e0d37090655e0a3c0c102559b17f58,restores equivalent compiled float32 graph results for transpose-add intermediates.,PASS,PENDING,FAIL,EXCLUDED,Inductor codegen defect outside linalg/optim/special-function scope,
EXT-pytorch-02,pytorch,https://github.com/pytorch/pytorch/issues/190764,dddd90223f002504572be4070edece265279d819,0e5df6d27a604bc55ebf49cc053e6ce0c094701e,restores equivalent compiled int32 graph results for expanded intermediates.,PASS,PENDING,FAIL,EXCLUDED,Inductor codegen defect outside linalg/optim/special-function scope,
EXT-pytorch-03,pytorch,https://github.com/pytorch/pytorch/issues/189895,1150551220f10177b017d45817f95bb28dbda8ee,849145017ca92f6fe77b276618613181cc725302,preserves padded boundary values when fusing constant padding into split reductions.,PASS,PENDING,FAIL,EXCLUDED,Inductor fusion defect outside linalg/optim/special-function scope,
EXT-pytorch-04,pytorch,https://github.com/pytorch/pytorch/issues/189847,f667923e130582b0ed99746f41604eec0d46704c,eab99fdb64683131ed8bdf46a2fdc139f1ccfb95,speeds up three-dimensional linear evaluation for unit-length decode shapes on MPS.,PASS,PENDING,FAIL,EXCLUDED,performance-only MPS linear-path defect,
EXT-pytorch-05,pytorch,https://github.com/pytorch/pytorch/issues/189518,c656085630c7828a889a2ad723a7dacfcc9cbd78,e3f5b9adf74e493336880932752b97aa9e21cf0d,preserves explicit cumsum dtype during pointless cumsum replacement.,PASS,PENDING,FAIL,EXCLUDED,Inductor pattern-rewrite defect outside linalg/optim/special-function scope,
EXT-pytorch-06,pytorch,https://github.com/pytorch/pytorch/issues/189495,f667923e130582b0ed99746f41604eec0d46704c,eab99fdb64683131ed8bdf46a2fdc139f1ccfb95,returns correct linear outputs for large-batch three-dimensional MPS inputs with bias.,PASS,PENDING,PASS,ADMIT_PENDING_REPRO,,
EXT-pytorch-07,pytorch,https://github.com/pytorch/pytorch/issues/189287,90847591e411bd639b963b2d6545a1f3c2faa76a,fb41d36f4fba29ad07428eb1ac3d201904790d4e,restores CUDA driver initialization for multimodal pooling tests after a Triton pin bump.,FAIL,PENDING,FAIL,EXCLUDED,CI driver/import failure rather than an in-scope numerical-kernel defect,
EXT-pytorch-08,pytorch,https://github.com/pytorch/pytorch/issues/188878,0b30810c86b45e2caabdd88e5d520e60e78913b7,e44749af67578736a472b8138b34bedbd573bc4c,restores correct FlexAttention scores for wrapped gather indices in flash backends.,PASS,PENDING,FAIL,EXCLUDED,FlexAttention backend defect outside linalg/optim/special-function scope,
EXT-pytorch-09,pytorch,https://github.com/pytorch/pytorch/issues/188871,0b30810c86b45e2caabdd88e5d520e60e78913b7,e44749af67578736a472b8138b34bedbd573bc4c,aligns integer dtypes in FlexAttention cute.where index wrapping under dynamic shapes.,PASS,PENDING,FAIL,EXCLUDED,FlexAttention compile dtype mismatch outside linalg/optim/special-function scope,
EXT-pytorch-10,pytorch,https://github.com/pytorch/pytorch/issues/188851,b3fd0747e3702fcb522d50ca19d5eef7b98b3aed,013355c4fe6a64ad06691c1264f868b9045fb91a,updates ROCm benchmark expected-import records after a transformers import failure.,FAIL,PENDING,FAIL,EXCLUDED,CI import expectation update rather than an in-scope numerical-kernel defect,
EXT-pytorch-11,pytorch,https://github.com/pytorch/pytorch/issues/188835,a84391f1ae7ac5d077844cd09c8de2238320e01b,a97eae5a3ffda7bcd9906586df93514bef7bd921,adjusts inductor smoke-test harness handling for DistillGPT2 accuracy failures.,FAIL,PENDING,FAIL,EXCLUDED,benchmark harness accuracy triage rather than an in-scope numerical-kernel fix,
EXT-pytorch-12,pytorch,https://github.com/pytorch/pytorch/issues/188514,aeec97c34b23793ed317c7141984dd842727ccc9,9c42d70ff05e2cc3933992ad278a06c670a07dd9,updates CPU inductor freezing accuracy expectations for Detectron2 models.,FAIL,PENDING,FAIL,EXCLUDED,benchmark expectation update rather than an in-scope numerical-kernel fix,
EXT-pytorch-13,pytorch,https://github.com/pytorch/pytorch/issues/188492,90847591e411bd639b963b2d6545a1f3c2faa76a,fb41d36f4fba29ad07428eb1ac3d201904790d4e,updates the Triton commit pin after an H100 inductor accuracy regression.,FAIL,PENDING,FAIL,EXCLUDED,CI Triton pin issue rather than an in-scope numerical-kernel fix,
EXT-pytorch-14,pytorch,https://github.com/pytorch/pytorch/issues/188390,834b6feeef2e4006ae2a277fa59e0c4cf08fd4e1,a84d9050fc77e0e3f361fd9f4718a2576700a222,produces rank-distinct AOTAutograd cache keys for DTensor compiles.,PASS,PENDING,FAIL,EXCLUDED,distributed compile-cache hashing defect outside numerical-kernel scope,
EXT-pytorch-15,pytorch,https://github.com/pytorch/pytorch/issues/188325,36c45ce92ff52961c69276a2dec26cdfe1d34a23,70295d25686244205ea15f5bf72e89eaca55a262,returns the runtime event type from EventVariable.python_type.,PASS,PENDING,FAIL,EXCLUDED,Dynamo typing helper defect outside numerical-kernel scope,
EXT-pytorch-16,pytorch,https://github.com/pytorch/pytorch/issues/188322,c1bbf1fab58da99576f50e25f13c5244a810283a,6b6db4fe8214511a026378c57f16fa5765b45775,restores correct FlexAttention outputs for the reported score_mod configuration.,PASS,PENDING,FAIL,EXCLUDED,FlexAttention backend defect outside linalg/optim/special-function scope,
EXT-pytorch-17,pytorch,https://github.com/pytorch/pytorch/issues/188213,70147dd482f51f736c227969bf0e5b147c893b22,6d5d7f9f785bd261e6c05002621ef828d3b19e51,lowers scatter_reduce_ without assertion failure under Inductor.,PASS,PENDING,FAIL,EXCLUDED,Inductor lowering assertion outside linalg/optim/special-function scope,
EXT-pytorch-18,pytorch,https://github.com/pytorch/pytorch/issues/187411,a81f45a342158064e27ba6eada4e1212322823e1,9ce0df5d83ef17f3fbfbaad90c64f7d23e62bb50,returns a deterministic matrix rank from gelsy least-squares solves.,PASS,PENDING,PASS,ADMIT_PENDING_REPRO,,
EXT-pytorch-19,pytorch,https://github.com/pytorch/pytorch/issues/187401,43083562bde5dc4564fa010fc15d2ba665da94ab,693fd0e203825e9362c4cefa8abf806550893c36,records Triton 3.8 pin status for the release branch.,FAIL,PENDING,FAIL,EXCLUDED,CI Triton pin status issue rather than an in-scope numerical-kernel fix,
EXT-pytorch-20,pytorch,https://github.com/pytorch/pytorch/issues/187301,703abdc7275635e5bbd3593736143e6f40d5511d,24705ce4738b6bb7dbaba80dbeafd7bda9f3909a,loads timm models that reject drop_rate in the dynamo benchmark harness.,PASS,PENDING,FAIL,EXCLUDED,benchmark model-loading defect outside numerical-kernel scope,
EXT-jax-01,jax,https://github.com/jax-ml/jax/issues/39312,7238390c245464fcddaaeadcca0cad63be196fc4,33b1f8422c854c3835cbabe53bf69ea5eaae7e1b,samples Poisson variates with a faster algorithm.,FAIL,PENDING,FAIL,EXCLUDED,performance improvement request rather than a defective numerical result,
EXT-jax-02,jax,https://github.com/jax-ml/jax/issues/38622,425c9c0345ff59c8778ae1b9503c91a54886eb7d,08e7fbb798be4c0234f95e094fb0b7dd8a154ec5,returns Poisson CDF one at infinite counts for positive mean parameters.,PASS,PENDING,PASS,ADMIT_PENDING_REPRO,,
EXT-jax-03,jax,https://github.com/jax-ml/jax/issues/37991,7cc2f41b55eac6d3e50867239823a9202c88802a,64130ed9ef6a84615ae7ae38f0513544fc96a35a,casts integer inputs to boolean before boolean cumsum accumulation.,PASS,PENDING,FAIL,EXCLUDED,numpy reduction defect outside linalg/optim/special-function scope,
EXT-jax-04,jax,https://github.com/jax-ml/jax/issues/36757,033a21e2314e36c50e481c7cf5daa87a69fad9ce,c692a6d7db6bc7eab01d6daa11f62f0c3b4fb8c1,scales exponential percent-point outputs by the requested scale parameter.,PASS,PENDING,PASS,ADMIT_PENDING_REPRO,,
EXT-jax-05,jax,https://github.com/jax-ml/jax/issues/34193,460d6b5c3fcac0750c2bc1aadbbab46585ed9582,fc4084f6e3345a03da59dd8a4944ef534086036a,returns shape information from make_jaxpr for HiType outputs.,PASS,PENDING,FAIL,EXCLUDED,tracing/API defect outside numerical-kernel scope,
EXT-jax-06,jax,https://github.com/jax-ml/jax/issues/34139,53d6b35036b4ede5a7baa030858556d8325eeb23,37e6224fa4e7ff7c8b8845e53b7e67cc595431a9,returns accurate first derivatives of the sinc special function near large inputs.,PASS,PENDING,PASS,ADMIT_PENDING_REPRO,,
EXT-jax-07,jax,https://github.com/jax-ml/jax/issues/34079,0dd9b2bfcad3546d62bf08289a9702733e5fad17,e14cdadb2350c39560d95b3f05142866d9c9448e,prevents dataclass fields from being registered as both data and meta fields.,PASS,PENDING,FAIL,EXCLUDED,pytree metadata registration defect outside numerical-kernel scope,
EXT-jax-08,jax,https://github.com/jax-ml/jax/issues/33370,a733e40af590ec8fd97def1723fc9106dad30018,ea14784dd04a97c2080c167c9d8924f7defe5605,evaluates associated Legendre values with a lower-complexity recurrence.,FAIL,PENDING,FAIL,EXCLUDED,performance algorithm request for associated Legendre evaluation,
EXT-jax-09,jax,https://github.com/jax-ml/jax/issues/32542,fac65507464a63a878f48947a2281a90a77e3c3f,599eb7b6de52f30a9f10f54472bc458fa1a82573,avoids exploding compile time for large arange constant folding.,PASS,PENDING,FAIL,EXCLUDED,compile-time constant-folding defect outside numerical-kernel scope,
EXT-jax-10,jax,https://github.com/jax-ml/jax/issues/31426,30d7f9450cf73ef40673ac41224a5c59fe107928,42e998d8084f4a41130427f05e88a2a8480a0b33,emits a deprecation warning on overflowing convert_element_type casts.,FAIL,PENDING,FAIL,EXCLUDED,deprecation-warning request rather than a numerical-kernel defect,
EXT-jax-11,jax,https://github.com/jax-ml/jax/issues/26888,5179642eb5572b8fbec01dca5e03e2a636e513c2,439c412cd4c928c124d776b4c73fe72e3aabd7be,matches NumPy constant-pad outputs for the reported pad widths.,PASS,PENDING,FAIL,EXCLUDED,numpy pad defect outside linalg/optim/special-function scope,
EXT-jax-12,jax,https://github.com/jax-ml/jax/issues/25693,f7b6deeb01dffaa40e956e5301cebfe59ec836ee,016fca79cabb416e7e0e37eca1b93bad0cf83d3e,adds a differentiation rule for tridiagonal linear solves.,FAIL,PENDING,FAIL,EXCLUDED,feature request for a tridiagonal_solve differentiation rule,
EXT-jax-13,jax,https://github.com/jax-ml/jax/issues/22398,af1a69edfddbb113ebf6cda5a80bd4182c52882a,0f103d33849ca017e6a199d0f79fa0d83b373995,returns correct logsumexp Jacobians when the weighting vector contains zero.,PASS,PENDING,PASS,ADMIT_PENDING_REPRO,,
EXT-jax-14,jax,https://github.com/jax-ml/jax/issues/13680,613fc9c8b9dd2d566397d45e843ddd3ccccb22e9,4ba338365402e69dfb2e1ffeeefc9bcbd0a91bb2,adds a Lambert W special-function implementation.,FAIL,PENDING,FAIL,EXCLUDED,feature request to add lambertw support,
EXT-jax-15,jax,https://github.com/jax-ml/jax/issues/13027,c49955f28daa266227d09b098592ab63b80b702e,0ea030e26a763dffed39dc7775bfea9703806dcf,rejects unhashable pytree metadata in the C++ pytree implementation.,PASS,PENDING,FAIL,EXCLUDED,pytree metadata hashing defect outside numerical-kernel scope,
EXT-jax-16,jax,https://github.com/jax-ml/jax/issues/11990,73cc7a572ef688d31d1ff87b0d964007455600ca,fe830a0f4fd93113d876318ed42053d9d90bf73e,defines integer floor-division by zero to match the documented NumPy edge behavior.,PASS,PENDING,FAIL,EXCLUDED,integer ufunc edge-case outside linalg/optim/special-function scope,
EXT-jax-17,jax,https://github.com/jax-ml/jax/issues/11481,8dac162f0495127e5626d23ee29d8f8e86ded733,0232510f6db98317f09a7933cefe0cb57d1c4de2,returns correct digamma derivatives for inputs below minus fourteen.,PASS,PENDING,PASS,ADMIT_PENDING_REPRO,,
