source_index,neutral_id,issue_url,fix_url,buggy_sha,fixed_sha,submitted_a1,submitted_a2,submitted_a3,submitted_decision,dual_arm_evidence,audit_a1,audit_a2,audit_a3,finding_id,severity,disposition
14,EXT-numpy-03,https://github.com/numpy/numpy/issues/25679,https://github.com/numpy/numpy/commit/5112fa07aab50daa2a615ac4c8f055f626a66d17,57684c06258ad61891df4aee1b617ee1764307ab,5112fa07aab50daa2a615ac4c8f055f626a66d17,PASS,PENDING,PASS,ADMIT_PENDING_REPRO,NONE_EXPECTED_AT_C2,CONFIRMED,EXPECTED_PENDING,CONSISTENT_WITH_SUPPLIED_EVIDENCE,,,
15,EXT-openblas-01,https://github.com/OpenMathLib/OpenBLAS/issues/5811,https://github.com/OpenMathLib/OpenBLAS/commit/70a5a5374743ec985ccd38fe81a442951ba76e07,fda55ad25909c6c34eca104c6fc2e9b4acd20ad9,70a5a5374743ec985ccd38fe81a442951ba76e07,PASS,PENDING,PASS,ADMIT_PENDING_REPRO,NONE_EXPECTED_AT_C2,CONFIRMED,EXPECTED_PENDING,CONSISTENT_WITH_SUPPLIED_EVIDENCE,,,
16,EXT-blis-01,https://github.com/flame/blis/issues/380,https://github.com/flame/blis/commit/e186d7141a51f2d7196c580e24e7b7db8f209db9,c01d249d7c546fe2e3cee3fe071cd4c4c88b9115,e186d7141a51f2d7196c580e24e7b7db8f209db9,PASS,PENDING,PASS,ADMIT_PENDING_REPRO,NONE_EXPECTED_AT_C2,CONFIRMED,EXPECTED_PENDING,FAIL_REQUIRED,A1-SCOPE-002,BLOCKER,Set A3=FAIL and decision=EXCLUDED unless an amendment authorizes integer-index outputs.
17,EXT-blis-02,https://github.com/flame/blis/issues/828,https://github.com/flame/blis/commit/a014a08189d05f45752f7ac23d8d42a24536fb93,3c71737e426f8d567f1324b82609b4a61db670f8,a014a08189d05f45752f7ac23d8d42a24536fb93,PASS,PENDING,PASS,ADMIT_PENDING_REPRO,NONE_EXPECTED_AT_C2,CONFIRMED,EXPECTED_PENDING,CONSISTENT_WITH_SUPPLIED_EVIDENCE,,,
18,EXT-cupy-01,https://github.com/cupy/cupy/issues/1602,https://github.com/cupy/cupy/commit/265d52e25a3a3512dc846361938665e80b805a3e,66a51ddda52d8802fd6aa055388455c31e92d822,265d52e25a3a3512dc846361938665e80b805a3e,PASS,PENDING,PASS,ADMIT_PENDING_REPRO,NONE_EXPECTED_AT_C2,CONFIRMED,EXPECTED_PENDING,CONSISTENT_WITH_SUPPLIED_EVIDENCE,,,
19,EXT-cupy-02,https://github.com/cupy/cupy/issues/6446,,,,FAIL,PENDING,PASS,EXCLUDED,NONE_EXPECTED_AT_C2,CONSISTENT_WITH_SUPPLIED_EVIDENCE,EXPECTED_PENDING,CONSISTENT_WITH_SUPPLIED_EVIDENCE,,,
20,EXT-cupy-03,https://github.com/cupy/cupy/issues/2071,https://github.com/cupy/cupy/commit/10b8178aad0f166a5abd82774899f195f52081da,87915f72cfecba80e1f8431f0b367195bcaabde0,10b8178aad0f166a5abd82774899f195f52081da,PASS,PENDING,PASS,ADMIT_PENDING_REPRO,NONE_EXPECTED_AT_C2,CONFIRMED,EXPECTED_PENDING,CONSISTENT_WITH_SUPPLIED_EVIDENCE,,,
21,EXT-petsc-01,https://gitlab.com/petsc/petsc/-/issues/1618,https://gitlab.com/petsc/petsc/-/commit/b07ab1d94b3b556e52636876d50f19ae1cf0398a,9a09e8def163a44622f84940b489fcfb2a000881,b07ab1d94b3b556e52636876d50f19ae1cf0398a,PASS,PENDING,PASS,ADMIT_PENDING_REPRO,NONE_EXPECTED_AT_C2,CONFIRMED,EXPECTED_PENDING,CONSISTENT_WITH_SUPPLIED_EVIDENCE,,,
22,EXT-petsc-02,https://gitlab.com/petsc/petsc/-/issues/1869,,,,FAIL,PENDING,FAIL,EXCLUDED,NONE_EXPECTED_AT_C2,CONSISTENT_WITH_SUPPLIED_EVIDENCE,EXPECTED_PENDING,CONSISTENT_WITH_SUPPLIED_EVIDENCE,,,
23,EXT-petsc-03,https://gitlab.com/petsc/petsc/-/issues/1862,,,,FAIL,PENDING,PASS,EXCLUDED,NONE_EXPECTED_AT_C2,CONSISTENT_WITH_SUPPLIED_EVIDENCE,EXPECTED_PENDING,CONSISTENT_WITH_SUPPLIED_EVIDENCE,,,
24,EXT-petsc-04,https://gitlab.com/petsc/petsc/-/issues/1897,https://gitlab.com/petsc/petsc/-/commit/96d4db8e52b8e105cb94a28c3b1357101318e998,8fa7d9492f7b163cdbeae94c89978ed2a64596be,96d4db8e52b8e105cb94a28c3b1357101318e998,PASS,PENDING,PASS,ADMIT_PENDING_REPRO,NONE_EXPECTED_AT_C2,CONFIRMED,EXPECTED_PENDING,FAIL_REQUIRED,A1-SCOPE-003,BLOCKER,Set A3=FAIL and decision=EXCLUDED; communicator/permutation metadata is not a float/few-float numerical output.
25,EXT-petsc-05,https://gitlab.com/petsc/petsc/-/issues/840,,,,FAIL,PENDING,PASS,EXCLUDED,NONE_EXPECTED_AT_C2,CONSISTENT_WITH_SUPPLIED_EVIDENCE,EXPECTED_PENDING,CONSISTENT_WITH_SUPPLIED_EVIDENCE,,,
26,EXT-lapack-01,https://github.com/Reference-LAPACK/lapack/issues/826,https://github.com/Reference-LAPACK/lapack/commit/8b7f5106d4b9f4c0d68c6576da4625b8b142ac95,3b4fea67ce31015e09d9a830e399ec598d224261,8b7f5106d4b9f4c0d68c6576da4625b8b142ac95,PASS,PENDING,PASS,ADMIT_PENDING_REPRO,NONE_EXPECTED_AT_C2,CONFIRMED,EXPECTED_PENDING,CONSISTENT_WITH_SUPPLIED_EVIDENCE,,,
27,EXT-lapack-02,https://github.com/Reference-LAPACK/lapack/issues/379,https://github.com/Reference-LAPACK/lapack/commit/9b24deea0a32a401f15025def2e9ba1c0871dc0d,799ef93faa5878aa8702f7cf9980cfc649cc39cc,9b24deea0a32a401f15025def2e9ba1c0871dc0d,PASS,PENDING,PASS,ADMIT_PENDING_REPRO,NONE_EXPECTED_AT_C2,CONFIRMED,EXPECTED_PENDING,CONSISTENT_WITH_SUPPLIED_EVIDENCE,,,
28,EXT-lapack-03,https://github.com/Reference-LAPACK/lapack/issues/151,,,,FAIL,PENDING,PASS,EXCLUDED,NONE_EXPECTED_AT_C2,CONSISTENT_WITH_SUPPLIED_EVIDENCE,EXPECTED_PENDING,CONSISTENT_WITH_SUPPLIED_EVIDENCE,,,
29,EXT-deepxde-01,https://github.com/lululxvi/deepxde/issues/2071,,,,FAIL,PENDING,PASS,EXCLUDED,NONE_EXPECTED_AT_C2,CONSISTENT_WITH_SUPPLIED_EVIDENCE,EXPECTED_PENDING,CONSISTENT_WITH_SUPPLIED_EVIDENCE,,,
30,EXT-deepxde-02,https://github.com/lululxvi/deepxde/issues/2073,,,,FAIL,PENDING,PASS,EXCLUDED,NONE_EXPECTED_AT_C2,CONSISTENT_WITH_SUPPLIED_EVIDENCE,EXPECTED_PENDING,CONSISTENT_WITH_SUPPLIED_EVIDENCE,,,
31,EXT-deepxde-03,https://github.com/lululxvi/deepxde/issues/2074,,,,FAIL,PENDING,PASS,EXCLUDED,NONE_EXPECTED_AT_C2,CONSISTENT_WITH_SUPPLIED_EVIDENCE,EXPECTED_PENDING,CONSISTENT_WITH_SUPPLIED_EVIDENCE,,,
32,EXT-magma-01,,https://github.com/icl-utk-edu/magma/commit/39cbc109a371446ef03d613f214f86cbd10ce223,cab872dd25255b33b074f01cf10576647ee41c38,39cbc109a371446ef03d613f214f86cbd10ce223,FAIL,PENDING,PASS,EXCLUDED,NONE_EXPECTED_AT_C2,CONSISTENT_WITH_SUPPLIED_EVIDENCE,EXPECTED_PENDING,CONSISTENT_WITH_SUPPLIED_EVIDENCE,,,
33,EXT-magma-02,,https://github.com/icl-utk-edu/magma/commit/55c5b2b38f67897e8ca2f58ba46b7c4982cd4105,e20a6748d9e7067c0946036b9c6d5caa022051db,55c5b2b38f67897e8ca2f58ba46b7c4982cd4105,FAIL,PENDING,PASS,EXCLUDED,NONE_EXPECTED_AT_C2,CONSISTENT_WITH_SUPPLIED_EVIDENCE,EXPECTED_PENDING,CONSISTENT_WITH_SUPPLIED_EVIDENCE,,,
34,EXT-sundials-01,https://github.com/LLNL/sundials/issues/702,https://github.com/LLNL/sundials/commit/6be6202c97c72ace4bb9d62b58263484ee61d9b4,fe37795322f0450b3f52224a880c3d99d30aa564,6be6202c97c72ace4bb9d62b58263484ee61d9b4,PASS,PENDING,PASS,ADMIT_PENDING_REPRO,NONE_EXPECTED_AT_C2,CONFIRMED,EXPECTED_PENDING,CONSISTENT_WITH_SUPPLIED_EVIDENCE,,,
35,EXT-sundials-02,https://github.com/LLNL/sundials/pull/548,https://github.com/LLNL/sundials/commit/a5c62e6ed2f61985c91afdfe449f66c6da0d33d1,05f019f03b28129577cb723883b95d96743d559e,a5c62e6ed2f61985c91afdfe449f66c6da0d33d1,PASS,PENDING,PASS,ADMIT_PENDING_REPRO,NONE_EXPECTED_AT_C2,CONFIRMED,EXPECTED_PENDING,CONSISTENT_WITH_SUPPLIED_EVIDENCE,,,
36,EXT-sundials-03,https://github.com/LLNL/sundials/pull/888,https://github.com/LLNL/sundials/commit/a7393b501a621b9caeca698485140b0e9bc63850,09f8a3be90ef0fff3fe04e612dc178a43e3975cc,a7393b501a621b9caeca698485140b0e9bc63850,PASS,PENDING,PASS,ADMIT_PENDING_REPRO,NONE_EXPECTED_AT_C2,CONFIRMED,EXPECTED_PENDING,CONSISTENT_WITH_SUPPLIED_EVIDENCE,,,
37,EXT-sundials-04,,https://github.com/LLNL/sundials/commit/3fe0bcddd2cb9b21160e9a2d7d0c657d0c2b0793,178eae817c7a5338e5f572d3a62d8cb6b4728fce,3fe0bcddd2cb9b21160e9a2d7d0c657d0c2b0793,FAIL,PENDING,PASS,EXCLUDED,NONE_EXPECTED_AT_C2,CONSISTENT_WITH_SUPPLIED_EVIDENCE,EXPECTED_PENDING,CONSISTENT_WITH_SUPPLIED_EVIDENCE,,,
38,EXT-graphblas-01,https://github.com/DrTimothyAldenDavis/GraphBLAS/issues/244,https://github.com/DrTimothyAldenDavis/GraphBLAS/commit/ffaa21e82974709e4604497a63ba7e702f848afa,0e26d20824f361aac4d42da53241c8ae0de1a5c8,ffaa21e82974709e4604497a63ba7e702f848afa,PASS,PENDING,PASS,ADMIT_PENDING_REPRO,NONE_EXPECTED_AT_C2,CONFIRMED,EXPECTED_PENDING,CONSISTENT_WITH_SUPPLIED_EVIDENCE,,,
39,EXT-freia-01,https://github.com/vislearn/FrEIA/issues/140,https://github.com/vislearn/FrEIA/commit/fa7b45d91710f9113bc000298b4a8e6aecdbcb23,0f100e008deda5c8521a4ba7014f0376ed5a0eb7,fa7b45d91710f9113bc000298b4a8e6aecdbcb23,PASS,PENDING,PASS,ADMIT_PENDING_REPRO,NONE_EXPECTED_AT_C2,CONFIRMED,EXPECTED_PENDING,CONSISTENT_WITH_SUPPLIED_EVIDENCE,,,
40,EXT-petsc-06,https://gitlab.com/petsc/petsc/-/issues/1583,,,,FAIL,PENDING,FAIL,EXCLUDED,NONE_EXPECTED_AT_C2,CONSISTENT_WITH_SUPPLIED_EVIDENCE,EXPECTED_PENDING,CONSISTENT_WITH_SUPPLIED_EVIDENCE,,,
41,EXT-petsc-07,https://gitlab.com/petsc/petsc/-/issues/1667,,,,FAIL,PENDING,FAIL,EXCLUDED,NONE_EXPECTED_AT_C2,CONSISTENT_WITH_SUPPLIED_EVIDENCE,EXPECTED_PENDING,CONSISTENT_WITH_SUPPLIED_EVIDENCE,,,
42,EXT-sundials-05,,https://github.com/LLNL/sundials/commit/dd0fc3db066275dc0a5b383764894317d454f398,6ec8edd5b6fbb20920bf514c82a46513278bd3d7,dd0fc3db066275dc0a5b383764894317d454f398,FAIL,PENDING,PASS,EXCLUDED,NONE_EXPECTED_AT_C2,CONSISTENT_WITH_SUPPLIED_EVIDENCE,EXPECTED_PENDING,CONSISTENT_WITH_SUPPLIED_EVIDENCE,,,
43,EXT-sundials-06,,https://github.com/LLNL/sundials/commit/ecb58259a7ec2a42ba114e8b62c7187f9e44820c,c134442c56df28b0ed95422df4f8f3f1a999ce4a,ecb58259a7ec2a42ba114e8b62c7187f9e44820c,FAIL,PENDING,PASS,EXCLUDED,NONE_EXPECTED_AT_C2,CONSISTENT_WITH_SUPPLIED_EVIDENCE,EXPECTED_PENDING,CONSISTENT_WITH_SUPPLIED_EVIDENCE,,,
44,EXT-sundials-07,https://github.com/LLNL/sundials/pull/763,https://github.com/LLNL/sundials/commit/5f5a8c3facdd413e54e02361afc47a2032091175,b577f273a5704a8e32fa053061166689349fdfbe,5f5a8c3facdd413e54e02361afc47a2032091175,PASS,PENDING,PASS,ADMIT_PENDING_REPRO,NONE_EXPECTED_AT_C2,CONFIRMED,EXPECTED_PENDING,CONSISTENT_WITH_SUPPLIED_EVIDENCE,,,
45,EXT-sundials-08,https://github.com/LLNL/sundials/pull/764,https://github.com/LLNL/sundials/commit/49763f35da7bacd3a384b12ec46feb1f83422807,5f5a8c3facdd413e54e02361afc47a2032091175,49763f35da7bacd3a384b12ec46feb1f83422807,PASS,PENDING,PASS,ADMIT_PENDING_REPRO,NONE_EXPECTED_AT_C2,CONFIRMED,EXPECTED_PENDING,CONSISTENT_WITH_SUPPLIED_EVIDENCE,,,
46,EXT-sundials-09,https://github.com/LLNL/sundials/pull/850,https://github.com/LLNL/sundials/commit/a49c06c8ee90f9872f6d47fd3d6f5c8622cb3524,366172e3f51e1bd6e2e82ccb1e8d297a235b6a4e,a49c06c8ee90f9872f6d47fd3d6f5c8622cb3524,PASS,PENDING,PASS,ADMIT_PENDING_REPRO,NONE_EXPECTED_AT_C2,CONFIRMED,EXPECTED_PENDING,CONSISTENT_WITH_SUPPLIED_EVIDENCE,,,
47,EXT-lapack-04,https://www.netlib.org/lapack/bug_list.html,https://github.com/Reference-LAPACK/lapack/commit/6d3c6b3d719c4fa38f8321e398a8ab142c124f22,2491c9367a9c5e827a935679a4755387b348e159,6d3c6b3d719c4fa38f8321e398a8ab142c124f22,PASS,PENDING,PASS,ADMIT_PENDING_REPRO,NONE_EXPECTED_AT_C2,CONFIRMED,EXPECTED_PENDING,CONSISTENT_WITH_SUPPLIED_EVIDENCE,,,
48,EXT-trilinos-01,https://github.com/trilinos/Trilinos/issues/7680,https://github.com/trilinos/Trilinos/commit/c7f0d9210b154e8f090d8c72363058885f7d674a,4209d0dd46e86c40d32d878b844ab86978c9280b,c7f0d9210b154e8f090d8c72363058885f7d674a,PASS,PENDING,PASS,ADMIT_PENDING_REPRO,NONE_EXPECTED_AT_C2,CONFIRMED,EXPECTED_PENDING,CONSISTENT_WITH_SUPPLIED_EVIDENCE,,,
49,EXT-scipy-03,https://github.com/scipy/scipy/issues/5326,https://github.com/scipy/scipy/commit/b127884e79ef5f10e0ba6d0ec58ebd6a799a8878,723f3c4e4e5e62b6290f99f9972d13382c00b28f,b127884e79ef5f10e0ba6d0ec58ebd6a799a8878,PASS,PENDING,PASS,ADMIT_PENDING_REPRO,NONE_EXPECTED_AT_C2,CONFIRMED,EXPECTED_PENDING,CONSISTENT_WITH_SUPPLIED_EVIDENCE,,,
50,EXT-dealii-01,https://github.com/dealii/dealii/issues/3874,https://github.com/dealii/dealii/commit/92a06f6229a1c242171d6a24f3eb2c7cdd2bbf6f,834e865e44ee273361dbdf11bbce986f6be78407,92a06f6229a1c242171d6a24f3eb2c7cdd2bbf6f,PASS,PENDING,PASS,ADMIT_PENDING_REPRO,NONE_EXPECTED_AT_C2,CONFIRMED,EXPECTED_PENDING,CONSISTENT_WITH_SUPPLIED_EVIDENCE,,,
51,EXT-sundials-10,https://github.com/LLNL/sundials/issues/311,https://github.com/LLNL/sundials/commit/da23565f8240a78999e8c0e253afb8f3fab85b77,4e5de4c054c658adae5326e7d08d9f6ad570ca88,da23565f8240a78999e8c0e253afb8f3fab85b77,PASS,PENDING,PASS,ADMIT_PENDING_REPRO,NONE_EXPECTED_AT_C2,CONFIRMED,EXPECTED_PENDING,CONSISTENT_WITH_SUPPLIED_EVIDENCE,,,
52,EXT-scipy-04,https://github.com/scipy/scipy/issues/11186,https://github.com/scipy/scipy/commit/1caf2339491aa8a1f9d018d1b202228ea85b022c,5621f933e8434ebc6123dcb485e9836bf43e7be1,1caf2339491aa8a1f9d018d1b202228ea85b022c,PASS,PENDING,PASS,ADMIT_PENDING_REPRO,NONE_EXPECTED_AT_C2,CONFIRMED,EXPECTED_PENDING,CONSISTENT_WITH_SUPPLIED_EVIDENCE,,,
53,EXT-boostmath-01,https://github.com/boostorg/math/issues/184,https://github.com/boostorg/math/commit/03ea9c8d7dff1083facd134c8f641e006b68fdae,75dcb3e3d560663be7e4e04dc4556d12fe54e348,03ea9c8d7dff1083facd134c8f641e006b68fdae,PASS,PENDING,PASS,ADMIT_PENDING_REPRO,NONE_EXPECTED_AT_C2,CONFIRMED,EXPECTED_PENDING,CONSISTENT_WITH_SUPPLIED_EVIDENCE,,,
54,EXT-gsl-01,https://www.mail-archive.com/bug-gsl@gnu.org/msg02964.html,,,,FAIL,PENDING,PASS,EXCLUDED,NONE_EXPECTED_AT_C2,CONSISTENT_WITH_SUPPLIED_EVIDENCE,EXPECTED_PENDING,CONSISTENT_WITH_SUPPLIED_EVIDENCE,,,
55,EXT-scipy-05,https://github.com/scipy/scipy/issues/8692,https://github.com/scipy/scipy/commit/2ca8bfed3b8efe2e115102afe001ca0b2d459fd2,2cc09f55687eef3343442387b6beec701ca79fd6,2ca8bfed3b8efe2e115102afe001ca0b2d459fd2,PASS,PENDING,PASS,ADMIT_PENDING_REPRO,NONE_EXPECTED_AT_C2,CONFIRMED,EXPECTED_PENDING,CONSISTENT_WITH_SUPPLIED_EVIDENCE,,,
56,EXT-datainterpolations-01,https://github.com/SciML/DataInterpolations.jl/issues/415,https://github.com/SciML/DataInterpolations.jl/commit/a5fae78c166d5f68111c2ff8de93188b5c77120e,d188ecdc75f9e582d8f4b249f720243fc3827cdc,a5fae78c166d5f68111c2ff8de93188b5c77120e,PASS,PENDING,PASS,ADMIT_PENDING_REPRO,NONE_EXPECTED_AT_C2,CONFIRMED,EXPECTED_PENDING,CONSISTENT_WITH_SUPPLIED_EVIDENCE,,,
57,EXT-castro-01,https://github.com/AMReX-Astro/Castro/issues/3259,https://github.com/AMReX-Astro/Castro/commit/d9549c534d5311c7eb2de0b810f45510ef5cf644,23c000f8bef236a3504cf4f6edeccfc69b462fbb,d9549c534d5311c7eb2de0b810f45510ef5cf644,PASS,PENDING,PASS,ADMIT_PENDING_REPRO,NONE_EXPECTED_AT_C2,CONFIRMED,EXPECTED_PENDING,CONSISTENT_WITH_SUPPLIED_EVIDENCE,,,
58,EXT-scipy-06,https://github.com/scipy/scipy/issues/6401,https://github.com/scipy/scipy/commit/1e001d61b21d1ba0bd8226a21721c5b953580e65,59f326cdd05e09f57fa6abf29bf8386b9673d4fd,1e001d61b21d1ba0bd8226a21721c5b953580e65,PASS,PENDING,PASS,ADMIT_PENDING_REPRO,NONE_EXPECTED_AT_C2,CONFIRMED,EXPECTED_PENDING,CONSISTENT_WITH_SUPPLIED_EVIDENCE,,,
59,EXT-eigen-01,https://gitlab.com/libeigen/eigen/-/issues/718,https://gitlab.com/libeigen/eigen/-/commit/7838fda82cfc49b40e8d3a615bb05711815b50e1,b1eca55328436f9778254c6bbc8852910a0d3d2a,7838fda82cfc49b40e8d3a615bb05711815b50e1,PASS,PENDING,PASS,ADMIT_PENDING_REPRO,NONE_EXPECTED_AT_C2,CONFIRMED,EXPECTED_PENDING,CONSISTENT_WITH_SUPPLIED_EVIDENCE,,,
60,EXT-lapack-05,https://github.com/Reference-LAPACK/lapack/issues/729,,,,FAIL,PENDING,PASS,EXCLUDED,NONE_EXPECTED_AT_C2,CONSISTENT_WITH_SUPPLIED_EVIDENCE,EXPECTED_PENDING,CONSISTENT_WITH_SUPPLIED_EVIDENCE,,,
61,EXT-lammps-01,https://github.com/lammps/lammps/pull/4781,https://github.com/lammps/lammps/commit/596e439c20624417e85493a7f8a993443b74288c,4376fa4bcc35f40d0534a5decaf983895956ac27,596e439c20624417e85493a7f8a993443b74288c,PASS,PENDING,PASS,ADMIT_PENDING_REPRO,NONE_EXPECTED_AT_C2,CONFIRMED,EXPECTED_PENDING,CONSISTENT_WITH_SUPPLIED_EVIDENCE,,,
62,EXT-rebound-01,https://github.com/hannorein/rebound/issues/615,,,,FAIL,PENDING,PASS,EXCLUDED,NONE_EXPECTED_AT_C2,CONSISTENT_WITH_SUPPLIED_EVIDENCE,EXPECTED_PENDING,CONSISTENT_WITH_SUPPLIED_EVIDENCE,,,
63,EXT-ordinarydiffeq-01,https://github.com/SciML/OrdinaryDiffEq.jl/issues/577,https://github.com/SciML/OrdinaryDiffEq.jl/commit/a1eb1a68fa181f19f4595d0b0102e879f460050a,d3fff74d109b0dae1a09f941d25e3226bad7cde7,a1eb1a68fa181f19f4595d0b0102e879f460050a,PASS,PENDING,PASS,ADMIT_PENDING_REPRO,NONE_EXPECTED_AT_C2,CONFIRMED,EXPECTED_PENDING,CONSISTENT_WITH_SUPPLIED_EVIDENCE,,,
64,EXT-ordinarydiffeq-02,https://github.com/SciML/OrdinaryDiffEq.jl/issues/1312,https://github.com/SciML/OrdinaryDiffEq.jl/commit/8b4b1f2fc3077478ee2d69a4837f633877fb6b7d,53126ab2f3ed38b829b68b5b4fa6108ad11720ff,8b4b1f2fc3077478ee2d69a4837f633877fb6b7d,PASS,PENDING,PASS,ADMIT_PENDING_REPRO,NONE_EXPECTED_AT_C2,CONFIRMED,EXPECTED_PENDING,CONSISTENT_WITH_SUPPLIED_EVIDENCE,,,
,ALL-64,,,,,,,,,,UNVERIFIABLE_MEMBER_BINDING,,,A1-SOURCE-BINDING-001,BLOCKER,Add a non-leaking per-record source hash/binding and a negative test that swaps two sanitized members; rerun the 64-case audit.
